category_id,category,contract_function,dpp_data_scope,example_clause_language,model_parameter_link,governance_rationale
1,Data disclosure requirements,Define mandatory DPP data fields,"product identity, provenance, bill of materials, compliance data","Supplier shall provide the DPP data fields specified in Schedule A for each covered product before shipment.",disclosure,Creates a clear baseline duty to disclose.
2,Data quality and completeness requirements,Set accuracy and completeness thresholds,"field completeness, data precision, missing values","Supplier warrants that required DPP fields are complete, accurate, timely, and traceable to source records.",C_H;C_L,Distinguishes high-quality disclosure from low-quality disclosure.
3,Material composition disclosure,Require composition transparency,"materials, substances of concern, recycled content","Supplier shall disclose material composition and substances of concern at the component level where available.",r,Addresses circular design and recycling information needs while raising IP sensitivity.
4,Carbon/environmental footprint disclosure,Require environmental metrics,"carbon footprint, energy, water, impact category","Supplier shall provide product-level carbon and environmental footprint data using the agreed calculation method.",C_H,Supports ESG reporting and compliance but increases collection cost.
5,"Repairability, reusability, and recyclability information",Support circular use decisions,"repair instructions, spare parts, reuse, recyclability","Supplier shall provide repairability, reusability, and recyclability information for each product family.",R,Converts DPP data into circular value for the buyer.
6,Data update frequency,Specify update timing,"change notices, periodic updates, version control","Supplier shall update DPP records within 30 days of material, process, or regulatory changes.",C_H,Prevents stale disclosure and preserves compliance value.
7,Verification and audit rights,Permit buyer or third-party verification,"audit trails, source records, site audits","Buyer may verify DPP data through document review, system access, or third-party audit on reasonable notice.",p;v,Creates detection probability for low-quality disclosure.
8,Third-party certification,Use independent assurance,"certificates, standards, conformity assessment","Supplier shall obtain third-party certification for designated DPP fields when required by Schedule B.",p;v;g,Increases credibility and reputational benefit of verified disclosure.
9,Penalties for false or incomplete data,Assign consequences for bad data,"liquidated damages, remediation, chargebacks","False, incomplete, or unverifiable DPP data may trigger remediation duties and liquidated damages.",F,Raises expected cost of low-quality disclosure.
10,Incentives for high-quality disclosure,Reward verified disclosure,"premiums, preferred supplier status, longer contracts","Verified high-quality DPP disclosure qualifies Supplier for preferred-supplier status or data-quality premiums.",B,Increases supplier payoff from high-quality disclosure.
11,Data ownership and access rights,Allocate rights and permissions,"ownership, license, access tiers, reuse rights","DPP data access shall be limited to the purposes and stakeholder classes specified in the data access schedule.",r,Reduces hold-up and misuse concerns.
12,Confidentiality and IP protection,Protect sensitive information,"trade secrets, aggregated data, access controls","Buyer shall protect confidential DPP data and restrict access to commercially sensitive fields.",r,Reduces commercial/IP risk from disclosure.
13,Cybersecurity and data protection,Secure DPP systems,"security controls, incident notice, personal data","Supplier shall maintain reasonable cybersecurity controls for DPP data exchange and notify Buyer of incidents.",C_H;R,Maintains trustworthiness and operational resilience.
14,Supplier support and capability-building,Improve supplier readiness,"training, templates, systems support, subsidies","Buyer may provide templates, onboarding support, or cost-sharing for DPP data capability improvements.",S;alpha;q,Reduces high-quality disclosure cost especially for SMEs.
15,Extended producer responsibility and end-of-life obligations,Connect DPP data to circular duties,"take-back, recycling, remanufacturing, EPR reporting","Supplier shall provide end-of-life and recovery information needed for applicable EPR obligations.",R;L,Links DPP disclosure to reverse supply-chain performance.
16,Termination or preferred-supplier clauses,Set participation consequences,"termination, suspension, preferred status","Repeated failure to provide verifiable DPP data may result in suspension, termination, or loss of preferred status.",outside option; B,Shapes the supplier participation constraint and outside option.
